,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
167,Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,9.5,9.6,6.72,2007.0
168,FIFA Soccer 12,PS3,EA Sports,EA Canada,9.2,6.166666666666667,6.65,2011.0
169,FIFA 14,PS3,EA Sports,EA Canada,9.0,5.466666666666666,6.61,2013.0
170,Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,9.0,5.5,6.6,2015.0
171,New Super Mario Bros. U Deluxe,NS,Nintendo,Nintendo EPD,8.0,6.6,6.6,2019.0
172,Tomodachi Life,3DS,Nintendo,Nintendo,7.8,7.6,6.59,2014.0
173,Red Dead Redemption,PS3,Rockstar Games,Rockstar San Diego,9.5,8.433333333333332,6.57,2011.0
174,Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,8.6,9.0,6.53,2010.0
175,The Legend of Zelda,NES,Nintendo,Nintendo EAD,8.4,8.8,6.51,1987.0
176,Assassin's Creed III,PS3,Ubisoft,Ubisoft Montreal,8.8,7.133333333333334,6.5,2012.0
177,Guild Wars,PC,NCSoft,ArenaNet,8.7,7.566666666666666,6.5,2005.0
178,Red Dead Redemption,X360,Rockstar Games,Rockstar San Diego,9.5,10.0,6.5,2010.0
179,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,9.0,7.8,6.49,2011.0
180,Final Fantasy XII,PS2,Square Enix,Square Enix,9.4,9.5,6.4,2006.0
181,Pokemon Crystal Version,GBC,Nintendo,Game Freak,8.7,8.700000000000001,6.39,2001.0
182,Halo 3: ODST,X360,Microsoft Game Studios,Bungie,8.7,7.5,6.35,2009.0
183,Minecraft,PS4,Sony Computer Entertainment,Mojang,9.4,7.766666666666666,6.33,2014.0
184,Luigi's Mansion 3,NS,Nintendo,"Next Level Games, Inc.",8.6,8.5,6.33,2019.0
185,FIFA 15,PS4,EA Sports,EA Canada,8.1,5.7,6.32,2014.0
186,Kingdom Hearts,PS2,Square EA,SquareSoft,8.5,8.0,6.3,2002.0
187,Myst,PC,Broderbund,Cyan Worlds,8.9,8.0,6.3,1995.0
188,Street Fighter II: The World Warrior,SNES,Capcom,Capcom,7.666666666666667,8.200000000000001,6.3,1992.0
189,Driver,PS,GT Interactive,Reflections Interactive,8.5,7.400000000000001,6.27,1999.0
190,Call of Duty: WWII,XOne,Activision,Sledgehammer Games,8.0,4.0,6.23,2017.0
191,Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,8.6,8.5,6.16,2013.0
192,Big Brain Academy,DS,Nintendo,Nintendo EAD,7.7,8.333333333333334,6.15,2006.0
